Location,HealyWarningsOnSmoking,MostSoldBrandCigaretteCurrency,MostSoldBrandCigarettePrice,TreatmentInHealthFacilities,BanOnEducationalFacilites,BanOnGovernmentFacilites,BanOnHealthcareFacilites,BanOnIndoorOffices,BanOnPublicTransport,BanOnPubsAndBars,BanOnRestaurants,BanOnUniversities,RegulationsOnSmokeFreeEnvironments,Year,CigaretteSmokingPrevalence_estimate,CigaretteSmokingPrevalence_ci_low,CigaretteSmokingPrevalence_ci_high,TobaccoSmokingPrevalence_estimate,TobaccoSmokingPrevalence_ci_low,TobaccoSmokingPrevalence_ci_high,TobaccoUsePrevalance_estimate,TobaccoUsePrevalance_ci_low,TobaccoUsePrevalance_ci_high
Botswana,,BWP,25.0,Yes in some,,,,,,,,,,2012,25.4,16.5,34.5,32.5,24.7,41.6,25.6,20.3,31.7
Brazil,No,BRL,4.25,Yes in some,,,,,,,,,8.0,2012,14.4,11.2,17.7,16.2,13.0,19.9,20.7,14.9,26.4
Brunei Darussalam,No,BND,7.4,Yes in some,,,,,,,,,7.0,2012,2.5,1.5,3.4,28.9,22.3,35.8,28.9,22.3,35.8
Bulgaria,No,BGN,4.6,Yes in some,,,,,,,,,,2012,38.4,29.6,46.2,42.0,34.6,50.7,42.0,34.6,50.7
Burkina Faso,No,XOF,500.0,No,,,,,,,,,0.0,2012,10.6,7.6,13.6,2.9,1.7,4.3,19.1,14.4,24.5
Burundi,,BIF,800.0,No,,,,,,,,,,2012,16.2,10.5,22.2,19.1,12.5,26.0,21.4,15.2,27.7
Cambodia,,KHR,1700.0,Yes in some,,,,,,,,,,2012,2.9,2.3,3.4,3.2,2.6,3.8,46.9,38.5,55.5
Cameroon,No,XAF,500.0,Yes in some,,,,,,,,,5.0,2012,14.9,10.8,19.4,14.9,10.8,19.4,17.5,13.6,21.9
Canada,No,CAD,8.49,Yes in most,,,,,,,,,10.0,2012,16.1,13.4,18.8,16.7,14.2,19.4,22.6,17.7,27.4
Chad,No,XAF,500.0,No,,,,,,,,,,2012,12.3,9.2,16.1,17.9,11.9,23.4,21.9,15.5,30.4
Chile,Yes,CLP,1635.0,Yes in some,,,,,,,,,5.0,2012,36.4,29.1,44.9,47.2,33.2,61.7,47.2,33.2,61.7
China,,CNY,10.57,Yes in some,,,,,,,,,3.0,2012,24.0,19.1,28.7,26.1,21.0,30.7,26.1,21.0,30.7
Colombia,Yes,COP,2269.0,Yes in some,,,,,,,,,,2012,4.6,3.5,5.9,14.9,12.0,18.8,14.9,12.0,18.8
Comoros,No,KMF,500.0,No,,,,,,,,,5.0,2012,20.3,15.5,25.8,24.6,18.7,31.0,24.4,18.4,31.0
Congo,No,XAF,500.0,No,,,,,,,,,,2012,19.0,13.1,25.7,10.9,8.6,13.0,2.5,1.8,3.4
Cook Islands,No,NZD,12.0,Yes in most,,,,,,,,,7.0,2012,24.9,15.6,33.8,31.1,24.8,38.7,31.1,24.8,38.7
Costa Rica,Yes,CRC,1300.0,Yes in some,,,,,,,,,8.0,2012,15.9,12.3,20.9,17.7,13.0,21.9,17.7,13.0,21.9
Croatia,No,HRK,20.0,Yes in some,,,,,,,,,7.0,2012,32.2,24.6,39.9,35.8,29.0,42.9,35.8,29.0,42.9
Cuba,No,CUP,7.0,Yes in most,,,,,,,,,4.0,2012,23.3,15.3,31.3,32.3,21.0,46.4,32.3,21.0,46.4
Cyprus,No,EUR,3.75,Yes in some,,,,,,,,,8.0,2012,31.3,23.9,39.1,38.3,28.4,47.2,38.3,28.4,47.2
Czechia,No,CZK,68.0,Yes in some,,,,,,,,,8.0,2012,27.7,22.6,33.4,32.5,27.1,38.9,32.5,27.1,38.9
Côte d’Ivoire,No,XOF,700.0,No,,,,,,,,,6.0,2012,11.4,6.6,16.5,13.9,8.3,21.4,2.4,0.8,4.6
Democratic People's Republic of Korea,No,,,Yes in most,,,,,,,,,,2012,16.1,10.2,21.8,19.5,14.8,24.8,19.5,14.8,24.8
Denmark,No,DKK,40.0,Yes in some,,,,,,,,,,2012,21.2,17.2,25.1,23.4,19.5,27.5,23.4,19.5,27.5
Dominican Republic,No,DOP,130.0,No,,,,,,,,,0.0,2012,6.3,4.6,8.0,13.8,8.6,18.9,13.8,8.6,18.9
Egypt,Yes,EGP,6.0,Yes in some,,,,,,,,,3.0,2012,17.1,13.7,21.0,21.1,17.4,25.2,21.1,17.4,25.2
El Salvador,,USD,1.95,Yes in some,,,,,,,,,,2012,2.1,1.1,3.1,2.7,1.4,4.0,25.8,16.4,37.6
Eritrea,No,ERN,40.0,No,,,,,,,,,,2012,10.5,6.4,15.3,12.9,9.0,17.3,17.0,11.4,23.3
Estonia,No,EUR,3.1,Yes in some,,,,,,,,,7.0,2012,30.2,24.0,37.0,33.6,27.6,39.4,33.6,27.6,39.4
Eswatini,,,,No,,,,,,,,,,2012,15.0,10.7,19.2,16.3,12.7,21.1,18.9,14.5,23.3
Ethiopia,,ETB,8.0,No,,,,,,,,,,2012,3.2,2.5,3.9,3.8,2.9,4.6,5.2,4.0,6.5
Fiji,,FJD,7.2,Yes in some,,,,,,,,,8.0,2012,36.5,20.3,54.7,28.5,17.8,39.6,28.5,17.8,39.6
Finland,No,EUR,4.89,Yes in most,,,,,,,,,10.0,2012,19.7,15.1,24.4,22.3,18.6,26.2,22.3,18.6,26.2
France,No,EUR,6.2,Yes in some,,,,,,,,,,2012,31.4,23.9,39.1,34.5,27.9,41.8,34.5,27.9,41.8
Gambia,No,GMD,15.0,No,,,,,,,,,,2012,12.4,9.0,16.4,16.6,11.6,21.5,2.1,1.5,2.9
Georgia,No,GEL,1.9,No,,,,,,,,,0.0,2012,5.0,3.9,6.5,5.5,4.1,6.8,5.5,4.1,6.8
Germany,No,EUR,5.26,Yes in some,,,,,,,,,7.0,2012,27.7,22.7,33.4,29.7,25.0,34.9,29.7,25.0,34.9
Ghana,No,GHS,2.0,No,,,,,,,,,,2012,3.1,2.1,4.2,4.1,2.8,5.5,4.4,3.2,5.8
Greece,No,EUR,3.7,Yes in some,,,,,,,,,,2012,38.3,29.6,47.1,42.1,33.8,51.2,42.1,33.8,51.2
Guyana,,GYD,300.0,Yes in some,,,,,,,,,5.0,2012,2.9,2.1,3.9,2.9,2.1,3.9,2.9,2.1,3.9
Haiti,,,,No,,,,,,,,,,2012,3.0,2.0,3.8,4.0,0.0,0.0,4.0,0.0,0.0
Hungary,No,HUF,757.9,Yes in some,,,,,,,,,10.0,2012,31.1,24.4,38.5,33.5,26.9,39.9,33.5,26.9,39.9
Iceland,No,ISK,998.0,Yes in some,,,,,,,,,10.0,2012,14.1,9.1,19.9,17.8,13.6,22.6,17.8,13.6,22.6
India,Yes,INR,98.0,Yes in some,,,,,,,,,5.0,2012,12.5,9.8,15.0,2.6,2.0,3.2,32.6,25.8,39.8
Indonesia,No,IDR,16667.0,Yes in some,,,,,,,,,3.0,2012,30.8,25.3,36.8,30.8,25.3,36.8,69.3,56.6,83.0
Iran (Islamic Republic of),Yes,IRR,12000.0,Yes in some,,,,,,,,,9.0,2012,10.0,7.5,12.6,2.1,1.6,2.7,27.7,23.0,33.8
Iraq,Yes,IQD,500.0,No,,,,,,,,,4.0,2012,2.1,1.0,3.5,3.7,2.2,5.3,4.7,2.9,6.6
Ireland,No,EUR,9.1,Yes in some,,,,,,,,,,2012,24.1,19.5,28.7,26.9,21.6,32.8,26.9,21.6,32.8
Israel,No,ILS,23.0,Yes in some,,,,,,,,,,2012,23.2,17.9,28.6,27.2,20.6,33.6,27.2,20.6,33.6
Italy,No,EUR,5.0,Yes in some,,,,,,,,,,2012,23.6,19.9,27.7,24.3,20.6,28.5,24.3,20.6,28.5
Jamaica,,JMD,660.0,Yes in most,,,,,,,,,,2012,16.9,10.8,22.2,20.8,12.7,31.4,20.8,12.7,31.4
Japan,No,JPY,410.0,Yes in some,,,,,,,,,,2012,24.2,20.2,28.2,25.1,20.7,29.2,25.1,20.7,29.2
Kazakhstan,Yes,KZT,130.0,Yes in some,,,,,,,,,,2012,42.9,34.4,52.1,46.3,37.7,56.4,46.3,37.7,56.4
Kenya,No,KES,90.0,Yes in some,,,,,,,,,,2012,18.9,15.2,22.8,11.9,9.0,14.6,24.0,19.5,28.5
Kiribati,,AUD,4.8,No,,,,,,,,,,2012,45.5,26.7,64.0,56.7,41.9,70.4,56.7,41.9,70.4
Kuwait,Yes,KWD,0.65,Yes in most,,,,,,,,,4.0,2012,15.2,9.5,21.3,3.0,2.2,3.8,4.2,3.1,5.5
Kyrgyzstan,Yes,KGS,24.0,Yes in most,,,,,,,,,,2012,3.3,2.2,4.2,3.8,2.7,5.1,3.8,2.7,5.1
Lao People's Democratic Republic,No,LAK,6000.0,No,,,,,,,,,,2012,45.2,35.3,56.5,54.7,43.7,67.0,44.4,33.9,55.4
Latvia,,LVL,1.8,Yes in some,,,,,,,,,,2012,33.7,26.0,41.7,37.9,31.4,44.9,37.9,31.4,44.9
Lebanon,No,LBP,2750.0,No,,,,,,,,,8.0,2012,27.7,20.7,34.7,34.1,26.3,42.8,42.9,30.8,57.1
Lesotho,,LSL,32.0,Yes in most,,,,,,,,,6.0,2012,19.1,14.8,23.5,24.5,18.3,31.8,47.6,38.1,58.4
Liberia,,LRD,65.0,Yes in some,,,,,,,,,,2012,14.5,8.7,20.9,15.4,12.1,18.7,2.7,1.8,3.8
Lithuania,No,LTL,8.5,Yes in some,,,,,,,,,8.0,2012,27.0,21.2,33.0,29.8,24.8,35.3,29.8,24.8,35.3
Luxembourg,No,EUR,4.6,Yes in some,,,,,,,,,,2012,21.9,17.4,26.2,24.0,19.8,28.6,24.0,19.8,28.6
Madagascar,No,MGA,2000.0,No,,,,,,,,,3.0,2012,15.6,12.3,19.9,21.7,15.1,29.4,32.5,24.3,41.2
Malawi,,MWK,500.0,No,,,,,,,,,,2012,19.8,15.6,23.5,22.4,18.2,26.4,24.9,20.5,30.7
Malaysia,,MYR,10.0,Yes in some,,,,,,,,,,2012,20.2,14.5,25.6,23.8,18.8,29.0,23.8,18.8,29.0
Mali,No,XOF,700.0,No,,,,,,,,,,2012,18.1,14.1,22.4,2.1,1.1,3.0,2.1,1.1,3.0
Malta,,EUR,4.2,Yes in some,,,,,,,,,8.0,2012,24.7,18.8,30.5,27.8,22.1,33.8,27.8,22.1,33.8
Mauritius,,MUR,105.0,Yes in some,,,,,,,,,5.0,2012,3.4,2.7,4.3,4.0,3.0,5.1,50.9,31.7,70.0
Mexico,No,MXN,40.0,Yes in most,,,,,,,,,5.0,2012,23.2,19.1,27.5,25.2,21.3,30.2,25.2,21.3,30.2
Mongolia,No,MNT,800.0,Yes in some,,,,,,,,,,2012,39.7,24.3,51.8,48.6,38.7,58.3,53.7,42.3,66.4
Morocco,No,MAD,17.5,Yes in most,,,,,,,,,5.0,2012,13.2,10.1,17.1,15.7,12.3,19.5,17.1,13.6,21.1
Mozambique,No,MZN,25.0,No,,,,,,,,,5.0,2012,2.0,1.1,2.9,30.7,21.9,40.4,28.6,22.8,35.5
Myanmar,,MMK,650.0,Yes in some,,,,,,,,,5.0,2012,3.8,2.0,5.7,42.3,33.3,52.5,50.5,39.6,61.9
Namibia,No,NAD,29.49,Yes in some,,,,,,,,,2.0,2012,22.2,16.9,27.3,21.4,15.4,27.0,19.6,4.1,7.2
Nauru,No,,,No,,,,,,,,,,2012,40.6,24.7,56.8,49.9,37.0,63.6,57.5,43.3,73.4
Nepal,Yes,NPR,95.0,Yes in some,,,,,,,,,6.0,2012,22.5,18.0,27.2,25.3,21.2,30.2,40.0,31.7,48.2
Netherlands,No,EUR,5.68,Yes in most,,,,,,,,,,2012,22.3,16.7,27.9,26.1,21.9,30.5,26.1,21.9,30.5
New Zealand,No,NZD,14.5,Yes in most,,,,,,,,,10.0,2012,17.6,14.6,20.6,18.6,15.7,21.8,18.6,15.7,21.8
Niger,,XOF,400.0,No,,,,,,,,,1.0,2012,11.6,8.5,14.8,13.5,10.9,16.2,15.4,12.5,19.1
Nigeria,,NGN,200.0,Yes in some,,,,,,,,,5.0,2012,4.1,2.7,5.4,4.7,3.7,5.7,10.1,7.7,12.4
Norway,No,NOK,87.5,Yes in some,,,,,,,,,10.0,2012,19.4,13.1,25.8,24.4,20.4,28.6,16.7,14.2,19.4
Oman,,OMR,0.9,Yes in some,,,,,,,,,9.0,2012,11.0,7.7,13.8,14.6,11.5,18.1,18.2,13.6,23.4
Pakistan,,PKR,33.0,Yes in some,,,,,,,,,5.0,2012,28.8,21.3,37.0,37.7,28.0,46.7,40.4,31.6,51.2
Palau,,USD,3.5,Yes in some,,,,,,,,,9.0,2012,24.4,14.1,34.1,20.4,15.5,26.4,26.6,18.0,37.6
Panama,Yes,PAB,3.73,Yes in some,,,,,,,,,8.0,2012,2.4,1.7,3.1,2.8,2.1,3.5,3.6,2.2,5.1
Paraguay,,PYG,1500.0,Yes in some,,,,,,,,,,2012,22.2,14.8,30.2,26.7,20.3,33.3,26.7,20.3,33.3
Peru,Yes,PEN,5.2,No,,,,,,,,,8.0,2012,21.4,16.4,26.6,23.4,17.6,28.7,23.4,17.6,28.7
Philippines,No,PHP,15.0,Yes in some,,,,,,,,,7.0,2012,42.0,33.4,50.2,46.0,38.1,54.9,46.0,38.1,54.9
Poland,No,PLN,11.6,Yes in some,,,,,,,,,7.0,2012,28.0,22.8,33.0,30.1,24.8,35.4,30.1,24.8,35.4
Portugal,No,EUR,4.2,Yes in some,,,,,,,,,8.0,2012,23.8,18.1,29.2,26.8,21.9,31.8,26.8,21.9,31.8
Qatar,Yes,QAR,9.0,Yes in some,,,,,,,,,,2012,10.1,6.9,13.8,12.3,9.1,15.8,14.3,11.1,18.0
Republic of Korea,,KRW,2500.0,Yes in some,,,,,,,,,5.0,2012,42.6,35.2,49.8,45.2,37.7,53.4,45.2,37.7,53.4
Republic of Moldova,,MDL,13.0,No,,,,,,,,,2.0,2012,39.6,31.6,47.9,44.2,35.7,53.7,44.2,35.7,53.7
Romania,No,RON,13.5,Yes in some,,,,,,,,,7.0,2012,26.8,20.8,32.5,29.8,24.6,36.0,29.8,24.6,36.0
Russian Federation,No,RUB,44.0,Yes in some,,,,,,,,,,2012,29.4,24.2,33.9,29.9,24.9,34.6,29.9,24.9,34.6
Rwanda,,RWF,600.0,No,,,,,,,,,,2012,14.9,11.0,19.4,21.3,16.0,26.7,22.2,17.5,27.7
Samoa,No,WST,8.6,No,,,,,,,,,,2012,26.0,18.8,33.6,32.3,23.6,41.2,32.3,23.6,41.2
Sao Tome and Principe,,STD,20000.0,No,,,,,,,,,,2012,4.0,2.6,5.7,4.5,3.3,5.7,5.6,4.1,7.3
Saudi Arabia,,SAR,9.0,Yes in most,,,,,,,,,8.0,2012,17.9,11.8,24.1,12.7,9.3,16.3,2.6,1.4,4.0
Senegal,No,XOF,400.0,Yes in some,,,,,,,,,3.0,2012,14.1,11.1,16.9,16.4,13.2,19.2,10.6,7.7,14.3
Serbia,,RSD,110.0,Yes in some,,,,,,,,,5.0,2012,37.5,28.9,46.2,42.2,33.9,50.5,42.2,33.9,50.5
Seychelles,Yes,SCR,75.0,No,,,,,,,,,10.0,2012,32.5,24.7,41.1,37.3,29.0,45.7,37.3,29.4,46.4
Sierra Leone,,SLL,2400.0,No,,,,,,,,,,2012,32.9,25.4,40.8,24.0,19.3,29.3,24.0,19.3,29.3
Singapore,No,SGD,11.9,Yes in most,,,,,,,,,,2012,24.8,19.2,30.3,27.7,21.8,33.7,27.7,21.8,33.7
Slovakia,No,EUR,2.74,No,,,,,,,,,7.0,2012,26.8,19.1,33.8,32.0,24.6,40.2,32.0,24.6,40.2
Slovenia,No,EUR,2.9,Yes in some,,,,,,,,,8.0,2012,21.8,17.0,26.8,23.5,19.1,28.2,23.5,19.1,28.2
Solomon Islands,No,SBD,24.0,No,,,,,,,,,0.0,2012,32.6,24.7,40.9,39.1,30.6,48.5,39.1,30.6,48.5
South Africa,No,ZAR,27.81,No,,,,,,,,,,2012,28.6,21.2,36.3,35.1,29.0,42.1,33.1,23.6,43.0
Spain,No,EUR,4.5,Yes in some,,,,,,,,,10.0,2012,28.5,22.8,34.3,30.6,25.6,36.8,30.6,25.6,36.8
Sri Lanka,,LKR,500.0,Yes in most,,,,,,,,,10.0,2012,11.0,6.5,15.3,14.6,11.5,18.3,4.0,2.6,5.6
Sweden,No,SEK,53.0,Yes in most,,,,,,,,,,2012,15.5,11.2,19.7,20.9,17.5,24.5,35.1,28.3,42.5
Switzerland,No,CHF,7.9,Yes in some,,,,,,,,,,2012,23.0,16.9,28.5,26.2,22.0,30.7,26.2,22.0,30.7
Thailand,,THB,58.0,Yes in most,,,,,,,,,7.0,2012,20.6,16.9,23.8,22.1,18.3,25.4,3.8,2.9,4.8
Timor-Leste,,USD,1.25,No,,,,,,,,,1.0,2012,5.5,3.5,7.9,43.7,35.8,52.6,43.7,35.8,52.6
Togo,No,XOF,400.0,No,,,,,,,,,3.0,2012,11.2,7.8,15.5,14.9,9.9,19.6,2.4,1.6,3.2
Tonga,No,TOP,8.0,Yes in some,,,,,,,,,,2012,25.0,14.8,33.5,31.0,24.0,38.3,31.0,24.0,38.3
Tunisia,No,TND,2.25,Yes in most,,,,,,,,,,2012,20.4,13.2,28.5,25.6,19.5,31.8,3.7,2.3,5.1
Turkey,No,TRY,6.5,Yes in some,,,,,,,,,10.0,2012,28.8,23.7,34.2,31.0,25.7,36.4,31.0,25.7,36.4
Tuvalu,No,AUD,6.0,Yes in most,,,,,,,,,7.0,2012,33.1,23.1,43.8,40.8,28.7,55.0,52.9,36.2,71.9
Uganda,,UGX,2500.0,,,,,,,,,,6.0,2012,15.3,12.1,18.9,17.5,14.0,21.5,20.8,16.2,25.4
Ukraine,Yes,UAH,7.5,No,,,,,,,,,,2012,27.8,23.1,33.1,29.3,24.6,34.0,29.3,24.6,34.0
United Arab Emirates,Yes,AED,8.0,Yes in some,,,,,,,,,,2012,11.8,7.0,18.3,15.5,10.2,21.6,19.1,12.8,28.0
United Kingdom of Great Britain and Northern Ireland,No,GBP,6.6,Yes in most,,,,,,,,,10.0,2012,20.7,17.5,24.3,23.7,19.2,28.1,23.7,19.2,28.1
United Republic of Tanzania,No,TZS,2500.0,Yes in some,,,,,,,,,,2012,10.7,7.8,13.9,2.5,1.5,3.5,28.0,20.4,35.1
United States of America,No,USD,6.07,Yes in some,,,,,,,,,,2012,19.5,16.5,23.0,22.6,18.3,26.3,27.2,22.4,32.3
Uruguay,Yes,UYU,75.0,Yes in most,,,,,,,,,10.0,2012,23.6,18.7,28.4,26.4,21.2,31.6,26.4,21.2,31.6
Uzbekistan,No,UZS,1700.0,No,,,,,,,,,,2012,11.0,7.2,14.3,13.4,9.9,17.4,13.4,9.9,17.4
Vanuatu,,VUV,700.0,No,,,,,,,,,,2012,2.7,1.5,4.2,3.2,2.1,4.8,3.7,2.2,5.3
Yemen,Yes,YER,250.0,No,,,,,,,,,,2012,22.5,11.2,36.8,29.4,17.6,45.5,23.5,13.1,35.6
Zambia,No,ZMK,8000.0,No,,,,,,,,,3.0,2012,12.3,9.7,14.9,25.7,21.1,31.4,27.2,22.9,33.4
Zimbabwe,No,USD,1.0,No,,,,,,,,,9.0,2012,12.1,9.4,15.0,15.2,11.1,18.9,15.2,11.1,18.9
Albania,No,All,200.0,Yes in some,3.0,5.0,5.0,3.0,8.0,0.0,0.0,3.0,0.0,2014,44.3,32.1,56.7,51.7,37.4,64.0,51.7,37.4,64.0
Algeria,No,DZD,150.0,Yes in some,6.0,,4.0,,,,,6.0,2.0,2014,11.4,6.1,16.2,14.9,10.9,19.1,19.4,12.3,27.9
Andorra,,EUR,3.5,No,10.0,10.0,10.0,,10.0,,,10.0,10.0,2014,28.0,16.3,40.4,34.1,23.4,45.4,34.1,23.4,45.4
Argentina,Yes,ARS,14.5,Yes in most,9.0,5.0,9.0,5.0,10.0,3.0,10.0,5.0,6.0,2014,21.9,17.0,26.7,24.2,19.2,29.6,25.6,19.1,31.8
Armenia,,AMD,600.0,Yes in some,5.0,,5.0,,,,,5.0,5.0,2014,26.6,21.4,31.3,28.3,23.3,33.3,28.3,23.3,33.3
Australia,No,AUD,17.05,Yes in most,,,,,,,,,8.0,2014,12.9,8.6,17.0,15.8,13.1,18.6,18.2,14.9,21.1
Austria,No,EUR,4.9,Yes in some,8.0,,,,,,,,6.0,2014,30.1,24.1,37.2,32.5,25.9,38.6,32.5,25.9,38.6
Azerbaijan,,AZN,1.4,No,5.0,,3.0,,,,,2.0,3.0,2014,16.8,11.8,23.2,21.1,14.2,28.4,21.1,14.2,28.4
Bahamas,,BSD,7.0,Yes in some,,,,,,,,,,2014,2.7,1.1,4.4,18.5,10.7,27.3,18.5,10.7,27.3
Bahrain,,BHD,1.0,Yes in most,,,,,,,,,,2014,14.0,8.7,19.8,34.1,21.2,46.9,41.9,23.6,61.7
Bangladesh,No,BDT,30.0,Yes in some,7.0,,7.0,,,,,,5.0,2014,19.1,15.1,23.9,22.6,18.4,26.7,41.1,33.2,50.1
Barbados,,BBD,13.85,No,,,,,,,,,,2014,10.3,5.7,15.8,2.2,1.2,3.3,2.4,1.4,3.5
Belarus,,BYR,7050.0,Yes in some,,,,,,,,,,2014,26.7,21.9,31.9,28.7,24.1,33.9,28.7,24.1,33.9
Belgium,No,EUR,5.79,Yes in some,,,,,10.0,,,,8.0,2014,24.2,18.1,29.8,25.9,20.8,31.7,25.9,20.8,31.7
Benin,No,XOF,500.0,No,4.0,10.0,0.0,10.0,5.0,,,5.0,4.0,2014,4.5,3.1,5.8,12.4,9.5,16.0,2.5,1.8,3.3
Bosnia and Herzegovina,,BAM,3.7,Yes in most,,,,,,,,,,2014,32.3,22.7,42.5,39.7,27.3,53.1,39.7,27.3,53.1
Botswana,,BWP,27.33,Yes in some,,,,,,,,,,2014,25.7,16.3,35.7,32.8,24.4,42.1,24.9,19.3,31.0
Brazil,No,BRL,5.75,Yes in some,,,,,10.0,,,,10.0,2014,17.2,13.5,21.7,15.2,12.0,18.9,19.2,13.8,25.1
Brunei Darussalam,No,,,Yes in some,10.0,8.0,10.0,10.0,10.0,8.0,7.0,8.0,7.0,2014,2.3,1.4,3.3,2.9,2.0,3.7,2.9,2.0,3.7
Bulgaria,No,BGN,4.7,No,8.0,8.0,10.0,7.0,10.0,2.0,3.0,8.0,7.0,2014,37.6,29.1,45.5,41.1,32.6,49.4,41.1,32.6,49.4
Burkina Faso,No,XOF,500.0,No,5.0,5.0,5.0,6.0,5.0,1.0,5.0,5.0,4.0,2014,10.4,7.6,13.9,2.5,1.4,3.8,26.5,20.5,32.4
Burundi,,BIF,1600.0,No,,,,,,,,,,2014,15.5,10.0,21.3,18.4,11.7,25.1,20.5,15.3,27.0
Cambodia,,KHR,1800.0,Yes in some,,,,,,,,,,2014,2.5,2.0,3.0,2.7,2.2,3.2,43.4,35.7,51.7
Cameroon,No,XAF,500.0,No,9.0,,9.0,,,,,5.0,5.0,2014,14.9,10.8,19.5,14.9,10.8,19.5,17.5,12.9,21.5
Canada,No,CAD,9.25,Yes in most,,10.0,,,,,,,10.0,2014,14.8,12.5,17.4,15.4,13.0,17.9,20.7,16.6,25.6
Chad,No,XAF,700.0,No,8.0,7.0,9.0,9.0,9.0,8.0,8.0,4.0,6.0,2014,12.4,8.9,16.0,18.0,12.0,24.4,2.9,1.6,4.3
Chile,Yes,CLP,1701.0,No,9.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,2014,35.7,27.7,45.6,46.2,31.9,61.2,46.2,31.9,61.2
China,,CNY,11.61,Yes in some,,,,,9.0,,,,4.0,2014,23.4,18.6,28.2,25.5,20.3,30.9,25.5,20.3,30.9
Colombia,Yes,COP,2479.0,No,9.0,6.0,9.0,9.0,6.0,4.0,5.0,4.0,5.0,2014,4.1,3.0,5.1,4.6,3.6,5.7,4.6,3.6,5.7
Comoros,No,KMF,500.0,No,6.0,6.0,5.0,,3.0,,,6.0,5.0,2014,19.8,14.6,24.9,23.9,16.5,30.1,22.6,16.1,29.1
Congo,No,XAF,600.0,No,,,,,,,,,,2014,10.6,6.8,14.1,11.4,9.1,13.9,2.3,1.6,3.1
Cook Islands,No,NZD,19.0,Yes in most,,10.0,,,8.0,3.0,,,5.0,2014,23.6,14.8,32.7,29.5,22.4,36.7,29.5,22.4,36.7
Costa Rica,Yes,CRC,1600.0,Yes in some,8.0,10.0,10.0,10.0,10.0,8.0,10.0,8.0,10.0,2014,14.9,10.8,19.5,16.7,12.4,21.5,16.7,12.4,21.5
Croatia,No,HRK,23.0,Yes in some,9.0,,8.0,,,,,8.0,6.0,2014,32.4,24.9,41.3,36.1,28.6,43.5,36.1,28.6,43.5
Cuba,No,CUP,7.0,Yes in most,5.0,,5.0,,3.0,,,5.0,5.0,2014,21.8,13.9,30.1,30.4,17.9,43.6,30.4,17.9,43.6
Cyprus,No,EUR,4.0,No,5.0,5.0,7.0,,,0.0,3.0,5.0,8.0,2014,30.7,22.6,39.1,37.6,28.3,46.9,37.6,28.3,46.9
Czechia,No,CZK,72.0,Yes in some,10.0,,5.0,,,,,9.0,5.0,2014,27.4,22.1,33.7,32.2,26.7,38.1,32.2,26.7,38.1
Côte d’Ivoire,No,XOF,700.0,No,,,,,,,,,,2014,10.9,6.4,15.7,13.4,8.0,20.3,2.1,0.8,4.1
Democratic People's Republic of Korea,No,KPW,197.1,Yes in most,9.0,,9.0,,9.0,,,,5.0,2014,16.0,9.7,21.9,19.2,14.4,24.6,19.2,14.4,24.6
Denmark,No,DKK,44.0,Yes in some,7.0,,,,,,,,8.0,2014,19.6,16.0,23.3,21.6,18.3,25.8,21.6,18.3,25.8
Dominican Republic,No,DOP,150.0,No,7.0,,,,,,,4.0,7.0,2014,5.8,4.2,7.6,12.9,8.1,19.1,12.9,8.1,19.1
Egypt,Yes,EGP,8.0,No,5.0,0.0,7.0,,2.0,,,2.0,7.0,2014,17.4,13.1,21.2,21.3,17.2,25.4,21.3,17.2,25.4
El Salvador,,USD,2.0,No,,,,,,,,,,2014,2.0,1.1,3.0,19.9,12.4,29.3,2.9,1.8,4.4
Eritrea,No,ERN,60.0,No,,,,,,,,,,2014,10.1,5.9,14.6,12.3,8.2,16.4,16.0,10.9,22.4
Estonia,No,EUR,3.5,No,8.0,,,,,,,,7.0,2014,29.3,22.6,36.3,32.4,27.2,39.1,32.4,27.2,39.1
Eswatini,No,SZL,35.0,No,,,,,,,,,,2014,15.1,11.2,20.0,16.3,11.8,21.3,19.0,14.6,24.0
Ethiopia,No,ETB,15.0,No,,,,,,,,,,2014,3.1,2.4,3.9,3.6,2.8,4.4,5.0,3.8,6.2
Fiji,,FJD,7.8,Yes in some,,,8.0,,5.0,,9.0,,6.0,2014,35.8,19.4,54.8,27.7,16.5,39.2,27.7,16.5,39.2
Finland,No,EUR,5.47,Yes in most,8.0,,,,,,,,10.0,2014,18.9,14.2,22.9,21.3,17.8,25.2,21.3,17.8,25.2
France,No,EUR,7.0,Yes in some,8.0,,8.0,,,,,6.0,9.0,2014,31.5,23.8,39.1,34.6,27.1,41.9,34.6,27.1,41.9
Gambia,No,GMD,30.0,No,,,,,,,,,,2014,12.1,8.6,15.8,16.1,11.3,21.3,15.7,12.2,18.9
Georgia,No,GEL,2.2,Yes in some,5.0,,5.0,,,,,1.0,0.0,2014,5.0,3.6,6.4,5.4,4.1,7.0,5.4,4.1,7.0
Germany,No,EUR,5.47,Yes in some,,,,,,,,,,2014,27.1,22.0,32.8,29.1,24.2,34.1,29.1,24.2,34.1
Ghana,No,GHS,2.5,No,,,,,,,,,,2014,2.9,1.9,4.0,3.9,2.6,5.5,4.1,3.0,5.6
